total_attempts,correct_attempts,accuracy,weighted_score,recent_accuracy,accuracy_trend,streak_length,avg_time_per_q,days_since_last,easy_accuracy,medium_accuracy,hard_accuracy,global_accuracy,topics_attempted,level,optimal_difficulty
18,6,0.3496,0.8977,0.4332,0.0339,2,26.89,58.55,0.3577,0.3465,0.1501,0.2809,5,beginner,easy
18,6,0.3325,0.337,0.4165,-0.1246,3,37.26,55.32,0.7215,0.1517,0.0799,0.2697,5,beginner,easy
46,26,0.5368,7.1968,0.4216,0.0233,7,9.57,5.46,0.8809,0.493,0.241,0.3873,10,intermediate,medium
130,127,0.9443,28.5244,0.6831,0.0353,16,15.98,23.56,0.8474,0.9027,0.4184,0.6252,7,advanced,hard
32,23,0.6892,11.239,0.6434,-0.0094,7,12.1,9.57,0.5931,0.4323,0.2984,0.6381,11,intermediate,medium
19,5,0.2672,1.989,0.1208,-0.0428,3,23.18,23.41,0.4181,0.2236,0.0547,0.4011,3,beginner,easy
37,20,0.5215,2.2924,0.6763,0.0784,6,26.97,1.3,0.9086,0.5384,0.0803,0.6287,5,intermediate,medium
142,115,0.8078,24.2641,0.6527470843566616,-0.1551,5,6.24,108.58583721609453,0.8715,0.7836,0.7223,0.7432,22,advanced,hard
12,6,0.5147,3.478,0.8083,0.0118,4,30.39,0.06,0.6681,0.4514,0.1466,0.4291,11,intermediate,medium
6,3,0.44,2.1966,0.4374,-0.0268,1,38.61,80.04,0.6665,0.3527,0.0294,0.2633,3,beginner,easy
72,70,1.0,10.3821,0.8062,-0.0253,11,5.94,18.76,0.8854,0.8392,0.492,0.8965,15,advanced,hard
18,6,0.3247,2.7876,0.292,-0.0959,0,19.79,81.87,0.4132,0.2696,0.1468,0.3089,2,beginner,easy
104,81,0.8001,37.9852,0.5169082375247769,-0.2832,10,6.99,96.05193006723559,0.9926,0.8762,0.7332,0.7601,21,advanced,hard
112,108,0.9927,29.4168,0.8605,0.0049,4,12.38,14.52,0.9494,0.9013,0.8145,0.7169,8,advanced,hard
133,129,0.9595,26.3988,0.8109,-0.0043,17,5.99,20.41,0.9192,0.7454,0.8458,0.8201,19,advanced,hard
9,2,0.1994,2.6241,0.3191,0.0196,1,29.32,79.57,0.5659,0.2015,0.0506,0.2443,1,beginner,easy
58,33,0.5087,11.473,0.5857,0.0892,2,20.43,6.77,0.8311,0.4321,0.1897,0.6181,15,intermediate,medium
9,2,0.2044,1.6085,0.2777,-0.0101,0,28.24,41.24,0.4538,0.15,0.1092,0.1931,5,beginner,easy
35,17,0.4683,8.1274,0.5341,0.0001,2,18.79,42.58,0.8716,0.4268,0.3848,0.6713,12,intermediate,easy
121,101,0.8099,23.3731,0.9088,0.0182,18,15.45,24.98,0.8631,0.721,0.792,0.7297,11,advanced,hard
8,2,0.2043,2.366,0.0564,-0.0742,0,19.62,6.78,0.4751,0.3392,0.1453,0.4007,2,beginner,easy
1,0,0.0,2.3239,0.0,0.0187,0,37.13,6.58,0.5396,0.2741,0.1371,0.313,1,beginner,easy
36,24,0.6477,7.6528,0.7126,0.0781,6,21.93,10.22,0.7502,0.4612,0.38,0.4094,11,intermediate,medium
54,32,0.6273,11.6218,0.8347,0.0438,3,13.92,36.03,0.7515,0.5633,0.2039,0.4813,7,intermediate,medium
62,57,0.9743,20.1007,1.0,0.004,13,10.21,9.96,0.9649,0.8338,0.6758,0.8489,5,advanced,hard
45,34,0.7281,35.7777,0.4567368567678548,-0.2714,2,7.89,61.52999945264889,0.8312,0.8344,0.8509,0.8699,15,advanced,hard
15,3,0.2652,2.0935,0.2387,-0.0256,2,43.26,40.92,0.3826,0.3805,0.1577,0.2197,2,beginner,easy
130,105,0.857,14.1977,0.7613,0.0574,20,6.28,20.49,1.0,0.7608,0.5536,0.7535,13,advanced,hard
31,29,0.8732,21.0627,0.6414,0.0433,10,7.31,6.36,0.8741,0.6429,0.398,0.765,6,advanced,hard
11,4,0.3917,1.1851,0.2849,-0.1262,3,49.79,85.01,0.7055,0.3637,0.0451,0.4482,1,beginner,easy
4,1,0.2069,0.0855,0.2889,-0.0216,0,35.52,85.56,0.4264,0.1142,0.1239,0.2602,1,beginner,easy
19,6,0.3427,2.5936,0.1918,0.0565,3,33.63,89.39,0.3671,0.28,0.2156,0.4805,2,beginner,easy
116,85,0.7215,26.3376,0.7671,0.0421,5,17.41,12.27,0.8816,0.7245,0.5459,0.8349,5,advanced,hard
0,0,0.0,2.1829,0.0,0.0262,0,43.65,27.72,0.6544,0.1893,0.0417,0.4481,4,beginner,easy
2,2,1.0,0.2118,1.0,0.0822,2,15.55,67.79,0.6687,0.3148,0.0364,0.1859,1,beginner,easy
77,67,0.8639,12.4914,0.8772,0.0235,12,5.81,5.93,0.9507,0.8105,0.7514,0.6991,10,advanced,hard
12,5,0.3896,2.7424,0.2459,0.0083,0,27.14,2.77,0.404,0.1774,0.0666,0.3359,2,beginner,easy
8,2,0.2465,0.0472,0.4747,0.002,1,39.74,16.9,0.6657,0.3613,0.0373,0.2166,5,beginner,easy
5,2,0.2813,2.4266,0.4181,0.0236,2,54.24,75.73,0.5933,0.2152,0.1563,0.195,5,beginner,easy
112,105,0.9265,14.0148,0.8562,0.0939,19,5.37,0.88,0.85,0.8668,0.8599,0.6728,19,advanced,hard
14,6,0.4437,2.9905,0.3824,0.0666,0,31.02,68.68,0.6224,0.202,0.0181,0.4546,1,beginner,easy
1,0,0.4422,2.901,0.4299,-0.082,1,21.58,37.09,0.7002,0.3956,0.1439,0.2325,4,beginner,easy
55,35,0.5912,8.7161,0.7598,0.0282,7,13.84,18.54,0.8311,0.5061,0.3708,0.422,12,intermediate,medium
0,0,0.0,0.3402,0.0,0.0796,0,36.02,28.14,0.5152,0.2165,0.0624,0.1349,2,beginner,easy
10,2,0.1975,1.4513,0.2062,-0.099,0,49.16,27.23,0.5023,0.3056,0.1533,0.313,3,beginner,easy
4,1,0.2464,0.2077,0.1207,-0.065,0,38.48,57.01,0.4887,0.3399,0.1548,0.2536,3,beginner,easy
20,7,0.374,1.669,0.3447,-0.0459,1,29.91,46.53,0.4685,0.1454,0.1946,0.324,3,beginner,easy
10,5,0.5476,7.7561,0.7029,-0.019,4,11.9,23.59,0.9078,0.7192,0.2173,0.6737,12,intermediate,medium
13,7,0.5718,11.4932,0.6908,-0.0076,2,12.85,22.29,0.6356,0.5196,0.1468,0.6247,10,intermediate,medium
4,1,0.2112,2.4186,0.2419,-0.0448,3,26.91,10.4,0.3254,0.2137,0.0102,0.3275,2,beginner,easy
28,13,0.493,7.7387,0.6311,0.0917,8,10.26,10.26,0.6469,0.4492,0.1843,0.5753,14,intermediate,easy
141,111,0.7663,21.6084,0.7951,0.0574,3,9.14,8.16,0.8918,0.765,0.8064,0.8134,16,advanced,hard
119,102,0.8954,16.6345,0.898,0.0609,16,13.01,8.33,0.8938,0.9486,0.791,0.826,12,advanced,hard
57,40,0.7259,8.2227,0.6852,0.095,4,28.25,38.69,0.7461,0.4974,0.3235,0.4622,10,intermediate,medium
10,5,0.4925,6.2186,0.4964,0.0764,7,13.04,14.29,0.6415,0.6634,0.0788,0.4262,4,intermediate,medium
3,1,0.304,1.1486,0.1255,-0.1391,1,27.15,22.07,0.5623,0.2507,0.0961,0.3665,3,beginner,easy
47,28,0.579,7.9981,0.6917,0.0459,2,34.31,42.3,0.6927,0.6053,0.4035,0.5382,8,intermediate,medium
21,12,0.6241,5.908,0.6657,-0.0456,1,21.14,28.16,0.7429,0.6162,0.4807,0.6593,10,intermediate,medium
2,0,0.0,0.0205,0.0,0.0368,0,19.23,67.36,0.6399,0.1939,0.0407,0.4356,2,beginner,easy
98,93,0.9214,12.1846,0.9525,-0.0455,12,10.83,10.34,0.9676,0.8078,0.6186,0.8352,14,advanced,hard
6,2,0.3892,1.2035,0.4374,0.0378,2,42.86,72.8,0.4663,0.2751,0.0959,0.3479,2,beginner,easy
40,25,0.6909,5.6507,0.7451,0.1058,2,20.55,41.39,0.7007,0.4653,0.4485,0.5628,5,intermediate,medium
18,13,0.7245,11.4671,0.8796,0.0973,17,15.66,29.75,0.8721,0.9216,0.5307,0.8137,16,advanced,hard
24,16,0.638,5.643,0.6632,0.1251,0,29.42,11.75,0.6413,0.4598,0.1195,0.4266,3,intermediate,medium
5,1,0.2556,2.2763,0.1178,0.0484,3,26.0,1.47,0.3527,0.1936,0.0592,0.2518,4,beginner,easy
33,22,0.6876,8.5205,0.7429,0.117,1,9.69,20.34,0.84,0.4904,0.336,0.6757,6,intermediate,medium
20,8,0.3816,2.6219,0.2472,-0.0058,3,30.06,39.75,0.3277,0.1865,0.0524,0.1798,5,beginner,easy
105,85,0.8104,8.4309,0.8064,-0.0337,3,13.5,16.98,0.8696,0.871,0.5212,0.8532,19,advanced,hard
3,1,0.2645,2.6124,0.4007,-0.0764,3,15.09,1.08,0.3957,0.1385,0.0256,0.2387,4,beginner,easy
24,17,0.6998,6.067,0.6008,0.062,5,17.17,31.12,0.781,0.4793,0.1618,0.4997,5,intermediate,medium
18,8,0.4685,0.5311,0.3445,0.0078,3,38.56,57.56,0.4293,0.2096,0.1134,0.3969,4,beginner,easy
5,1,0.2859,2.4461,0.439,-0.064,3,39.08,61.9,0.4966,0.3265,0.0598,0.3796,3,beginner,easy
16,6,0.3896,1.4717,0.3249,-0.0152,3,36.42,76.89,0.5061,0.2208,0.1024,0.4447,5,beginner,easy
91,73,0.7642,33.6779,0.8677,-0.009,6,9.0,20.68,0.8781,0.7705,0.7779,0.8146,19,advanced,hard
54,26,0.4977,5.7308,0.6176,0.0621,7,33.33,44.6,0.8243,0.6373,0.201,0.5824,4,intermediate,easy
49,28,0.5679,4.7869,0.7866,-0.0448,2,21.47,17.41,0.799,0.494,0.1935,0.5363,12,intermediate,medium
43,30,0.6824,5.994,0.5876,0.131,4,18.18,42.68,0.7133,0.6412,0.2599,0.6765,7,intermediate,medium
57,49,0.8441,32.1598,0.9201,-0.035,12,11.79,22.04,0.986,0.7519,0.6565,0.7359,5,advanced,hard
49,41,0.8221,12.4218,0.8651,0.083,18,9.48,21.04,0.9635,0.8624,0.8554,0.8052,11,advanced,hard
33,16,0.4882,6.0788,0.4885,0.0599,6,11.23,43.4,0.5912,0.4807,0.2131,0.576,10,intermediate,easy
6,2,0.3195,1.4431,0.1767,-0.0331,1,50.18,8.66,0.407,0.4291,0.0798,0.1986,5,beginner,easy
0,0,0.0,0.9722,0.0,0.0722,0,43.02,88.39,0.4068,0.1478,0.1309,0.4473,1,beginner,easy
36,21,0.6032,6.8856,0.6821,0.0498,4,13.03,33.59,0.9013,0.6134,0.3526,0.5136,12,intermediate,medium
20,8,0.4103,0.8127,0.42,-0.104,0,28.56,47.28,0.3622,0.3064,0.2139,0.285,4,beginner,easy
137,133,1.0,10.8385,0.8106,0.0783,5,13.45,4.92,0.9715,0.8392,0.5899,0.7322,9,advanced,hard
76,64,0.8099,12.2206,0.5669516387478327,-0.2429,10,13.98,319.4986729836274,0.9009,0.7336,0.7845,0.776,21,advanced,hard
41,27,0.6264,3.2871,0.4461,0.1485,7,13.64,0.66,0.8782,0.6981,0.3413,0.4502,9,intermediate,medium
64,55,0.8338,28.981,0.7519,0.0212,9,13.49,8.37,0.9433,0.8503,0.8444,0.8216,18,advanced,hard
6,2,0.3411,0.9668,0.148,-0.0556,0,41.35,71.07,0.503,0.3261,0.0137,0.2343,5,beginner,easy
132,100,0.7419,31.4935,0.7461,0.0516,8,18.8,1.35,0.8497,0.7743,0.6655,0.7558,16,advanced,hard
25,12,0.4773,11.5768,0.688,0.0287,0,8.78,7.44,0.6854,0.6548,0.1399,0.5562,4,intermediate,easy
93,82,0.8779,26.3981,0.8597,0.0091,15,14.8,22.39,0.8813,0.8353,0.8848,0.8214,19,advanced,hard
57,39,0.7013,4.7108,0.7567,0.0037,6,23.3,43.78,0.9418,0.6145,0.3253,0.419,6,intermediate,medium
13,6,0.463,3.726,0.6057,0.1425,7,26.8,19.38,0.6262,0.6759,0.1431,0.5424,9,intermediate,easy
58,35,0.5693,3.4316,0.694,0.0752,8,29.94,33.72,0.8768,0.6328,0.2781,0.3765,13,intermediate,medium
31,26,0.8728,25.1094,0.7682268985685934,-0.1046,16,8.23,356.5039484254588,0.9571,0.827,0.5577,0.91,6,advanced,hard
50,27,0.4912,6.3303,0.4027,0.1356,4,29.58,28.92,0.7146,0.5254,0.384,0.4037,4,intermediate,medium
9,2,0.2212,2.773,0.2613,-0.1322,3,37.2,15.29,0.3163,0.3329,0.1988,0.1791,5,beginner,easy
60,34,0.6033,7.2703,0.5905,0.1136,2,10.7,24.55,0.7672,0.6343,0.2155,0.5439,7,intermediate,medium
27,14,0.4746,11.7846,0.4301,0.0819,7,19.36,29.02,0.5822,0.5996,0.2724,0.4526,3,intermediate,medium
39,19,0.4678,3.8786,0.5067,0.0356,3,24.2,27.23,0.7899,0.4217,0.11,0.5814,15,intermediate,easy
4,1,0.3489,2.4605,0.1432,0.0378,0,20.2,41.49,0.691,0.2119,0.1031,0.3356,3,beginner,easy
144,113,0.7856,19.3431,0.7124,0.0476,5,11.73,17.17,0.8489,0.7828,0.5543,0.8495,23,advanced,hard
14,6,0.4778,2.5168,0.151,-0.0889,3,37.97,21.87,0.393,0.4033,0.0501,0.3002,2,beginner,easy
30,26,0.9071,20.3127,0.8704,0.0149,20,8.81,6.51,1.0,0.8132,0.5757,0.8732,20,advanced,hard
16,4,0.2187,2.5365,0.1422,-0.0789,1,42.84,14.47,0.497,0.1375,0.0179,0.3453,2,beginner,easy
1,0,0.3403,0.4286,0.3501,0.0773,2,35.06,71.98,0.471,0.0789,0.0057,0.2081,5,beginner,easy
102,89,0.8529,35.2707,0.7338,-0.0398,13,6.25,25.45,0.8482,0.917,0.728,0.8742,10,advanced,hard
6,3,0.4344,2.3885,0.1395,-0.0993,3,47.6,59.26,0.4036,0.3135,0.1562,0.1746,4,beginner,easy
40,27,0.7116,7.5029,0.5991,-0.0282,7,19.46,25.26,0.9404,0.642,0.4689,0.674,7,intermediate,medium
28,16,0.5693,3.5871,0.4606,0.002,5,18.74,28.86,0.6811,0.6496,0.0885,0.556,15,intermediate,medium
